TARGET,ID
1,2
1,5
0,6
0,7
0,9
1,11
1,12
1,15
0,16
0,17
1,19
0,21
0,22
0,24
0,27
1,28
1,30
0,33
0,35
1,37
1,38
1,40
0,41
0,44
1,46
0,47
0,48
0,50
1,52
0,53
0,55
0,57
0,58
0,59
1,62
0,63
1,64
0,65
1,67
0,69
0,70
1,71
0,72
0,73
0,76
0,78
0,79
0,81
0,85
0,86
1,89
1,94
0,96
0,97
0,98
0,99
1,100
1,103
0,104
0,108
0,110
0,112
0,114
0,116
0,117
0,119
0,120
0,121
0,123
1,124
0,126
1,128
1,129
0,133
1,138
0,147
0,149
0,158
0,160
0,164
0,167
0,168
0,174
0,181
1,185
0,187
0,189
1,190
0,194
1,197
0,198
1,201
0,205
1,208
0,211
1,216
1,219
0,223
1,224
0,226
1,229
1,230
0,237
0,238
1,240
0,243
1,245
1,246
0,247
0,248
0,249
1,250
0,251
1,255
0,256
1,257
1,260
0,261
1,263
1,264
0,267
0,268
0,272
0,274
0,275
1,277
1,278
0,280
0,281
0,282
0,283
1,284
0,286
0,290
1,291
0,293
1,295
0,297
1,298
0,300
0,304
0,305
0,308
0,309
0,310
1,312
1,313
0,315
0,317
0,318
0,321
0,323
0,325
0,326
0,327
1,328
1,329
0,330
0,331
0,334
0,335
1,336
0,337
0,338
0,339
1,341
1,343
0,346
0,348
1,350
0,351
0,352
0,357
0,358
0,360
0,361
0,364
0,365
0,366
0,367
0,368
0,370
0,372
0,376
0,377
0,379
0,380
1,381
0,385
1,386
1,389
1,391
0,392
0,393
0,395
0,396
0,397
0,398
1,399
0,400
0,401
0,403
0,405
1,406
0,409
0,411
0,413
0,418
0,419
0,422
1,424
0,425
0,427
0,430
0,431
0,434
1,435
1,437
0,438
1,439
0,442
0,446
1,450
0,451
0,452
0,454
0,455
0,463
0,464
0,465
1,467
0,468
1,470
1,472
0,473
0,475
0,476
0,479
0,481
1,483
0,484
1,486
0,487
1,491
0,494
0,495
0,497
0,498
0,499
0,503
0,504
0,505
0,506
1,507
1,508
0,509
0,510
1,511
1,512
0,516
1,518
